         136450955 function calls (133398617 primitive calls) in 99.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.000    0.000   99.056    1.981 I:\csus\necs\NHSE BI\DCBI\Team Member Individual Folders\Madan\DES - Madan\DES - Madan\src\simulation.py:367(run)
       50    0.178    0.004   99.055    1.981 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\simpy\core.py:206(run)
   335234    0.389    0.000   98.878    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\simpy\core.py:181(step)
   172520    0.413    0.000   98.194    0.001 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\simpy\events.py:387(_resume)
   172520    0.191    0.000   97.619    0.001 {method 'send' of 'generator' objects}
   184923    1.449    0.000   71.082    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\frame.py:641(__init__)
   155023    1.547    0.000   63.988    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\construction.py:411(dict_to_mgr)
15022/15000    0.553    0.000   53.264    0.004 I:\csus\necs\NHSE BI\DCBI\Team Member Individual Folders\Madan\DES - Madan\DES - Madan\src\simulation.py:131(generate_birth_arrivals)
   125072    0.260    0.000   51.456    0.000 I:\csus\necs\NHSE BI\DCBI\Team Member Individual Folders\Madan\DES - Madan\DES - Madan\src\simulation.py:27(__init__)
    15022    0.133    0.000   42.957    0.003 I:\csus\necs\NHSE BI\DCBI\Team Member Individual Folders\Madan\DES - Madan\DES - Madan\src\simulation.py:348(daily_scheduler)
    44850    0.375    0.000   42.770    0.001 I:\csus\necs\NHSE BI\DCBI\Team Member Individual Folders\Madan\DES - Madan\DES - Madan\src\simulation.py:312(monitor)
375569/250396    3.312    0.000   27.649    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\series.py:368(__init__)
    29900    0.125    0.000   22.785    0.001 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\reshape\concat.py:149(concat)
    29900    0.407    0.000   18.190    0.001 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\reshape\concat.py:565(get_result)
   155023    0.476    0.000   16.987    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\construction.py:97(arrays_to_mgr)
    29900    0.697    0.000   16.062    0.001 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\concat.py:176(concatenate_managers)
   125173    0.071    0.000   13.441    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\series.py:5540(isna)
   125173    0.169    0.000   13.371    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\generic.py:7878(isna)
   125173    0.388    0.000   12.643    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\series.py:521(_init_dict)
   185571    0.107    0.000   11.896    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\missing.py:106(isna)
